ts,id,x,y,z,devlon,devlat,devheight,tardistance,tarazim,tarpitch,tarheadangle,radialspeed,tarspeed,rcs,tartype,tarcatecred,threlevel,radtaskway,historydotnum,tacquality,tarrange,reserve,reporttime,devid
41:42.3,41,106.00786491078576,29.357580582142067,369.25965986121446,106.006832,29.35655,352,0,4128,647,10600,200,200,0,0,0,1,0,0,0,0,0,13:03.7,1
41:44.3,41,106.00782726298812,29.35755015348249,368.49816110450774,106.006832,29.35655,352,0,4108,639,33200,250,200,0,0,0,1,0,0,0,0,0,13:03.7,1
41:46.3,41,106.00787705361832,29.357602019321853,372.937502713874,106.006832,29.35655,352,0,4103,771,14400,-400,300,0,3,0,1,0,0,0,0,0,13:03.7,1
41:48.3,41,106.00792527524023,29.357649709718046,372.9320643208921,106.006832,29.35655,352,0,4105,737,14800,-350,300,0,3,0,1,0,0,0,0,0,13:03.7,1
41:48.3,41,106.00785291205071,29.357540302018002,369.9575930442661,106.006832,29.35655,352,0,4208,692,32800,0,400,0,3,0,1,0,0,0,0,0,13:03.7,1
44:27.5,93,106.00530418225327,29.356213643587918,436.9871676415205,106.006832,29.35655,352,0,25589,2905,900,-650,700,0,0,0,1,0,0,0,0,0,13:03.9,1
44:29.5,93,106.00514172544223,29.3561724383878,435.8288570214063,106.006832,29.35655,352,0,25569,2632,900,-700,700,0,0,0,1,0,0,0,0,0,13:03.9,1
44:31.5,93,106.0049677999604,29.356130249990958,436.19095521233976,106.006832,29.35655,352,0,25558,2424,900,-800,700,0,0,0,1,0,0,0,0,0,13:03.9,1
44:33.5,93,106.00480131098648,29.35608966891638,435.12187692988664,106.006832,29.35655,352,0,25549,2219,900,-750,700,0,3,0,1,0,0,0,0,0,13:03.9,1
44:35.5,93,106.0046293480784,29.356044759338857,434.50748962070793,106.006832,29.35655,352,0,25532,2046,900,-800,700,0,3,0,1,0,0,0,0,0,13:03.9,1
44:37.5,93,106.00445867283969,29.356006886250228,434.2351085403934,106.006832,29.35655,352,0,25536,1904,900,-760,800,0,3,0,1,0,0,0,0,0,13:03.9,1
44:39.5,93,106.00429218463893,29.355971746654756,434.9743587980047,106.006832,29.35655,352,0,25543,1803,1000,-780,800,0,3,0,1,0,0,0,0,0,13:03.9,1
44:41.5,93,106.00411668545888,29.3559264285417,435.1825836626813,106.006832,29.35655,352,0,25531,1696,1000,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
44:43.5,93,106.00395082292124,29.355887560269206,435.2322783060372,106.006832,29.35655,352,0,25529,1605,1000,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
44:45.5,93,106.00378297362516,29.355848144941337,434.2694667177275,106.006832,29.35655,352,0,25527,1504,1000,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
44:47.5,93,106.00362081585948,29.355801581437966,434.2527709156275,106.006832,29.35655,352,0,25510,1429,900,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
