ts,id,x,y,z
41:49.3,41,106.007863,29.357563,370.533069
41:50.3,41,106.007854,29.357542,370.010389
41:51.3,41,106.007845,29.357522,369.487709
41:52.3,41,106.007836,29.357501,368.96503
41:53.3,41,106.007827,29.35748,368.44235
41:54.3,41,106.007818,29.357459,367.919671
41:55.3,41,106.007809,29.357439,367.396991
41:56.3,41,106.0078,29.357418,366.874312
41:57.3,41,106.007791,29.357397,366.351632
41:58.3,41,106.007782,29.357376,365.828953
41:59.3,41,106.007773,29.357356,365.306273
42:00.3,41,106.007764,29.357335,364.783593
42:01.3,41,106.007755,29.357314,364.260914
42:02.3,41,106.007746,29.357293,363.738234
42:03.3,41,106.007737,29.357272,363.215555
46:17.5,93,105.996484,29.354314,434.669632
46:19.5,93,105.996308,29.354276,433.031573
46:21.5,93,105.996131,29.354238,431.393513
46:23.5,93,105.995955,29.354199,429.755454
46:25.5,93,105.995779,29.354161,428.117395
46:27.5,93,105.995602,29.354123,426.479336
46:29.5,93,105.995426,29.354085,424.841277
46:31.5,93,105.99525,29.354046,423.203217
46:33.5,93,105.995073,29.354008,421.565158
46:35.5,93,105.994897,29.35397,419.927099
46:37.5,93,105.994721,29.353932,418.28904
46:39.5,93,105.994544,29.353893,416.650981
46:41.5,93,105.994368,29.353855,415.012921
46:43.5,93,105.994192,29.353817,413.374862
46:45.5,93,105.994015,29.353779,411.736803
55:13.5,157,105.979624,29.349808,411.382837
55:15.5,157,105.979538,29.349753,412.483615
55:17.5,157,105.979453,29.349698,413.584393
55:19.5,157,105.979367,29.349643,414.68517
55:21.5,157,105.979282,29.349588,415.785948
55:23.5,157,105.979196,29.349534,416.886726
55:25.5,157,105.97911,29.349479,417.987503
55:27.5,157,105.979025,29.349424,419.088281
55:29.5,157,105.978939,29.349369,420.189059
55:31.5,157,105.978854,29.349314,421.289836
55:33.5,157,105.978768,29.349259,422.390614
55:35.5,157,105.978682,29.349204,423.491392
55:37.5,157,105.978597,29.349149,424.592169
55:39.5,157,105.978511,29.349094,425.692947
55:41.5,157,105.978426,29.34904,426.793725
56:39.5,74,105.987269,29.352367,395.355662
56:41.5,74,105.987211,29.352373,393.745615
56:43.5,74,105.987153,29.352379,392.135567
56:45.5,74,105.987095,29.352386,390.52552
56:47.5,74,105.987037,29.352392,388.915473
56:49.5,74,105.986978,29.352398,387.305425
56:51.5,74,105.98692,29.352404,385.695378
56:53.5,74,105.986862,29.352411,384.085331
56:55.5,74,105.986804,29.352417,382.475283
56:57.5,74,105.986746,29.352423,380.865236
56:59.5,74,105.986688,29.35243,379.255189
57:01.5,74,105.986629,29.352436,377.645141
57:03.5,74,105.986571,29.352442,376.035094
57:05.5,74,105.986513,29.352448,374.425047
57:07.5,74,105.986455,29.352455,372.814999
15:30.0,104,105.998753,29.35487,430.609278
17:30.0,104,105.998581,29.354834,431.330207
19:30.0,104,105.998409,29.354798,432.051136
21:30.0,104,105.998237,29.354762,432.772065
23:30.0,104,105.998065,29.354725,433.492994
25:30.0,104,105.997893,29.354689,434.213923
27:30.0,104,105.997721,29.354653,434.934851
29:30.0,104,105.997548,29.354617,435.65578
31:30.0,104,105.997376,29.354581,436.376709
33:30.0,104,105.997204,29.354544,437.097638
35:30.0,104,105.997032,29.354508,437.818567
37:30.0,104,105.99686,29.354472,438.539496
39:30.0,104,105.996688,29.354436,439.260425
41:30.0,104,105.996516,29.3544,439.981353
43:30.0,104,105.996344,29.354363,440.702282
24:06.0,7507,106.012486,29.358769,346.324907
30:18.0,7507,106.012484,29.358766,346.331591
36:30.0,7507,106.012481,29.358763,346.338274
42:42.0,7507,106.012479,29.35876,346.344958
48:54.0,7507,106.012476,29.358757,346.351642
55:06.0,7507,106.012473,29.358754,346.358325
01:18.0,7507,106.012471,29.358751,346.365009
07:30.0,7507,106.012468,29.358748,346.371692
13:42.0,7507,106.012466,29.358745,346.378376
19:54.0,7507,106.012463,29.358742,346.38506
26:06.0,7507,106.01246,29.35874,346.391743
32:18.0,7507,106.012458,29.358737,346.398427
38:30.0,7507,106.012455,29.358734,346.40511
44:42.0,7507,106.012453,29.358731,346.411794
50:54.0,7507,106.01245,29.358728,346.418477
46:48.0,6689,106.000405,29.367325,334.277015
53:00.0,6689,106.000405,29.367325,334.277015
59:12.0,6689,106.000405,29.367325,334.277015
05:24.0,6689,106.000405,29.367325,334.277015
11:36.0,6689,106.000405,29.367325,334.277015
17:48.0,6689,106.000405,29.367325,334.277015
24:00.0,6689,106.000405,29.367325,334.277015
30:12.0,6689,106.000405,29.367325,334.277015
36:24.0,6689,106.000405,29.367325,334.277015
42:36.0,6689,106.000405,29.367325,334.277015
48:48.0,6689,106.000405,29.367325,334.277015
55:00.0,6689,106.000405,29.367325,334.277015
01:12.0,6689,106.000405,29.367325,334.277015
07:24.0,6689,106.000405,29.367325,334.277015
13:36.0,6689,106.000405,29.367325,334.277015
46:48.0,4388,105.998827,29.353429,348.846
53:00.0,4388,105.998554,29.35331,348.062976
59:12.0,4388,105.998282,29.353192,347.279953
05:24.0,4388,105.998009,29.353073,346.496929
11:36.0,4388,105.997737,29.352954,345.713905
17:48.0,4388,105.997464,29.352835,344.930881
24:00.0,4388,105.997191,29.352716,344.147857
30:12.0,4388,105.996919,29.352597,343.364833
36:24.0,4388,105.996646,29.352478,342.581809
42:36.0,4388,105.996374,29.352359,341.798785
48:48.0,4388,105.996101,29.35224,341.015761
55:00.0,4388,105.995828,29.352122,340.232737
01:12.0,4388,105.995556,29.352003,339.449713
07:24.0,4388,105.995283,29.351884,338.666689
13:36.0,4388,105.995011,29.351765,337.883665
28:48.0,2551,105.998136,29.355479,366.364571
34:54.0,2551,105.998136,29.355479,366.364571
41:00.0,2551,105.998136,29.355479,366.364571
47:06.0,2551,105.998136,29.355479,366.364571
53:12.0,2551,105.998136,29.355479,366.364571
59:18.0,2551,105.998136,29.355479,366.364571
05:24.0,2551,105.998136,29.355479,366.364571
11:30.0,2551,105.998136,29.355479,366.364571
17:36.0,2551,105.998136,29.355479,366.364571
23:42.0,2551,105.998136,29.355479,366.364571
29:48.0,2551,105.998136,29.355479,366.364571
35:54.0,2551,105.998136,29.355479,366.364571
42:00.0,2551,105.998136,29.355479,366.364571
48:06.0,2551,105.998136,29.355479,366.364571
54:12.0,2551,105.998136,29.355479,366.364571
44:24.0,9586,106.044671,29.360339,451.834496
50:42.0,9586,106.044658,29.360342,451.256666
57:00.0,9586,106.044645,29.360345,450.678836
03:18.0,9586,106.044632,29.360347,450.101006
09:36.0,9586,106.04462,29.36035,449.523176
15:54.0,9586,106.044607,29.360353,448.945346
22:12.0,9586,106.044594,29.360355,448.367516
28:30.0,9586,106.044581,29.360358,447.789686
34:48.0,9586,106.044568,29.36036,447.211856
41:06.0,9586,106.044555,29.360363,446.634026
47:24.0,9586,106.044542,29.360366,446.056196
53:42.0,9586,106.044529,29.360368,445.478366
00:00.0,9586,106.044516,29.360371,444.900536
06:18.0,9586,106.044503,29.360374,444.322706
12:36.0,9586,106.044491,29.360376,443.744876
29:30.0,6574,106.00651,29.364315,430.057893
35:42.0,6574,106.00651,29.364315,430.057893
41:54.0,6574,106.00651,29.364315,430.057893
48:06.0,6574,106.00651,29.364315,430.057893
54:18.0,6574,106.00651,29.364315,430.057893
00:30.0,6574,106.00651,29.364315,430.057893
06:42.0,6574,106.00651,29.364315,430.057893
12:54.0,6574,106.00651,29.364315,430.057893
19:06.0,6574,106.00651,29.364315,430.057893
25:18.0,6574,106.00651,29.364315,430.057893
31:30.0,6574,106.00651,29.364315,430.057893
37:42.0,6574,106.00651,29.364315,430.057893
43:54.0,6574,106.00651,29.364315,430.057893
50:06.0,6574,106.00651,29.364315,430.057893
56:18.0,6574,106.00651,29.364315,430.057893
25:42.0,9469,106.007736,29.373108,369.00538
31:54.0,9469,106.007735,29.373103,368.986202
38:06.0,9469,106.007735,29.373099,368.967023
44:18.0,9469,106.007734,29.373094,368.947845
50:30.0,9469,106.007734,29.37309,368.928666
56:42.0,9469,106.007734,29.373085,368.909487
02:54.0,9469,106.007733,29.373081,368.890309
09:06.0,9469,106.007733,29.373076,368.87113
15:18.0,9469,106.007733,29.373071,368.851951
21:30.0,9469,106.007732,29.373067,368.832773
27:42.0,9469,106.007732,29.373062,368.813594
33:54.0,9469,106.007732,29.373058,368.794416
40:06.0,9469,106.007731,29.373053,368.775237
46:18.0,9469,106.007731,29.373048,368.756058
52:30.0,9469,106.007731,29.373044,368.73688
48:00.0,6168,105.996361,29.356407,381.392163
54:06.0,6168,105.996328,29.356407,381.392656
00:12.0,6168,105.996295,29.356407,381.393148
06:18.0,6168,105.996262,29.356407,381.393641
12:24.0,6168,105.99623,29.356406,381.394133
18:30.0,6168,105.996197,29.356406,381.394626
24:36.0,6168,105.996164,29.356406,381.395119
30:42.0,6168,105.996131,29.356406,381.395611
36:48.0,6168,105.996099,29.356406,381.396104
42:54.0,6168,105.996066,29.356406,381.396596
49:00.0,6168,105.996033,29.356406,381.397089
55:06.0,6168,105.996,29.356405,381.397582
01:12.0,6168,105.995967,29.356405,381.398074
07:18.0,6168,105.995935,29.356405,381.398567
13:24.0,6168,105.995902,29.356405,381.399059
50:48.0,6812,106.028099,29.355668,398.672909
57:00.0,6812,106.028123,29.355668,398.87349
03:12.0,6812,106.028147,29.355668,399.074072
09:24.0,6812,106.028172,29.355669,399.274653
15:36.0,6812,106.028196,29.355669,399.475234
21:48.0,6812,106.02822,29.355669,399.675816
28:00.0,6812,106.028245,29.355669,399.876397
34:12.0,6812,106.028269,29.355669,400.076978
40:24.0,6812,106.028293,29.355669,400.27756
46:36.0,6812,106.028318,29.355669,400.478141
52:48.0,6812,106.028342,29.35567,400.678722
59:00.0,6812,106.028366,29.35567,400.879303
05:12.0,6812,106.028391,29.35567,401.079885
11:24.0,6812,106.028415,29.35567,401.280466
17:36.0,6812,106.028439,29.35567,401.481047
55:18.0,9939,105.994189,29.358009,345.570512
01:36.0,9939,105.994174,29.358014,345.573296
07:54.0,9939,105.994159,29.358018,345.576081
14:12.0,9939,105.994143,29.358022,345.578866
20:30.0,9939,105.994128,29.358027,345.581651
26:48.0,9939,105.994112,29.358031,345.584436
33:06.0,9939,105.994097,29.358036,345.587221
39:24.0,9939,105.994081,29.35804,345.590006
45:42.0,9939,105.994066,29.358045,345.592791
52:00.0,9939,105.994051,29.358049,345.595576
58:18.0,9939,105.994035,29.358054,345.59836
04:36.0,9939,105.99402,29.358058,345.601145
10:54.0,9939,105.994004,29.358063,345.60393
17:12.0,9939,105.993989,29.358067,345.606715
23:30.0,9939,105.993973,29.358072,345.6095
01:48.0,9132,105.99634,29.346129,387.337893
08:00.0,9132,105.996334,29.346057,387.518353
14:12.0,9132,105.996328,29.345984,387.698814
20:24.0,9132,105.996322,29.345911,387.879274
26:36.0,9132,105.996317,29.345838,388.059735
32:48.0,9132,105.996311,29.345765,388.240195
39:00.0,9132,105.996305,29.345692,388.420656
45:12.0,9132,105.996299,29.34562,388.601117
51:24.0,9132,105.996293,29.345547,388.781577
57:36.0,9132,105.996287,29.345474,388.962038
03:48.0,9132,105.996281,29.345401,389.142498
10:00.0,9132,105.996275,29.345328,389.322959
16:12.0,9132,105.99627,29.345256,389.503419
22:24.0,9132,105.996264,29.345183,389.68388
28:36.0,9132,105.996258,29.34511,389.86434
44:00.0,2798,105.991628,29.348667,400.001592
50:12.0,2798,105.991708,29.348609,400.214735
56:24.0,2798,105.991788,29.348551,400.427877
02:36.0,2798,105.991868,29.348492,400.64102
08:48.0,2798,105.991948,29.348434,400.854162
15:00.0,2798,105.992028,29.348376,401.067305
21:12.0,2798,105.992108,29.348318,401.280447
27:24.0,2798,105.992188,29.34826,401.49359
33:36.0,2798,105.992269,29.348202,401.706732
39:48.0,2798,105.992349,29.348144,401.919875
46:00.0,2798,105.992429,29.348086,402.133017
52:12.0,2798,105.992509,29.348028,402.34616
58:24.0,2798,105.992589,29.34797,402.559302
04:36.0,2798,105.992669,29.347912,402.772445
10:48.0,2798,105.992749,29.347854,402.985587
30:42.0,5859,105.985428,29.361843,506.767319
36:48.0,5859,105.985428,29.361843,506.767319
42:54.0,5859,105.985428,29.361843,506.767319
49:00.0,5859,105.985428,29.361843,506.767319
55:06.0,5859,105.985428,29.361843,506.767319
01:12.0,5859,105.985428,29.361843,506.767319
07:18.0,5859,105.985428,29.361843,506.767319
13:24.0,5859,105.985428,29.361843,506.767319
19:30.0,5859,105.985428,29.361843,506.767319
25:36.0,5859,105.985428,29.361843,506.767319
31:42.0,5859,105.985428,29.361843,506.767319
37:48.0,5859,105.985428,29.361843,506.767319
43:54.0,5859,105.985428,29.361843,506.767319
50:00.0,5859,105.985428,29.361843,506.767319
56:06.0,5859,105.985428,29.361843,506.767319
25:30.0,5735,106.013696,29.370313,355.139719
31:42.0,5735,106.013648,29.370218,355.136668
37:54.0,5735,106.013601,29.370124,355.133617
44:06.0,5735,106.013554,29.370029,355.130566
50:18.0,5735,106.013507,29.369934,355.127515
56:30.0,5735,106.013459,29.36984,355.124465
02:42.0,5735,106.013412,29.369745,355.121414
08:54.0,5735,106.013365,29.36965,355.118363
15:06.0,5735,106.013318,29.369556,355.115312
21:18.0,5735,106.013271,29.369461,355.112262
27:30.0,5735,106.013223,29.369366,355.109211
33:42.0,5735,106.013176,29.369272,355.10616
39:54.0,5735,106.013129,29.369177,355.103109
46:06.0,5735,106.013082,29.369082,355.100058
52:18.0,5735,106.013034,29.368988,355.097008
09:30.0,6575,105.991133,29.367246,374.145695
15:42.0,6575,105.99105,29.367211,374.252339
21:54.0,6575,105.990967,29.367175,374.358982
28:06.0,6575,105.990885,29.367139,374.465626
34:18.0,6575,105.990802,29.367104,374.57227
40:30.0,6575,105.990719,29.367068,374.678914
46:42.0,6575,105.990637,29.367032,374.785558
52:54.0,6575,105.990554,29.366996,374.892202
59:06.0,6575,105.990471,29.366961,374.998846
05:18.0,6575,105.990389,29.366925,375.10549
11:30.0,6575,105.990306,29.366889,375.212134
17:42.0,6575,105.990224,29.366854,375.318778
23:54.0,6575,105.990141,29.366818,375.425422
30:06.0,6575,105.990058,29.366782,375.532066
36:18.0,6575,105.989976,29.366747,375.63871
58:24.0,5897,105.990045,29.376092,404.71396
04:36.0,5897,105.990054,29.376111,404.848559
10:48.0,5897,105.990063,29.37613,404.983159
17:00.0,5897,105.990072,29.376149,405.117758
23:12.0,5897,105.990081,29.376167,405.252358
29:24.0,5897,105.99009,29.376186,405.386957
35:36.0,5897,105.990099,29.376205,405.521557
41:48.0,5897,105.990108,29.376224,405.656156
48:00.0,5897,105.990117,29.376243,405.790756
54:12.0,5897,105.990126,29.376262,405.925355
00:24.0,5897,105.990135,29.376281,406.059955
06:36.0,5897,105.990144,29.3763,406.194555
12:48.0,5897,105.990153,29.376319,406.329154
19:00.0,5897,105.990162,29.376337,406.463754
25:12.0,5897,105.990171,29.376356,406.598353
54:12.0,3838,106.001848,29.361377,350.918987
00:30.0,3838,106.001814,29.361424,351.469274
06:48.0,3838,106.00178,29.361471,352.01956
13:06.0,3838,106.001745,29.361518,352.569847
19:24.0,3838,106.001711,29.361565,353.120133
25:42.0,3838,106.001677,29.361612,353.67042
32:00.0,3838,106.001643,29.361659,354.220706
38:18.0,3838,106.001608,29.361707,354.770993
44:36.0,3838,106.001574,29.361754,355.321279
50:54.0,3838,106.00154,29.361801,355.871566
57:12.0,3838,106.001505,29.361848,356.421852
03:30.0,3838,106.001471,29.361895,356.972139
09:48.0,3838,106.001437,29.361942,357.522425
16:06.0,3838,106.001402,29.36199,358.072712
22:24.0,3838,106.001368,29.362037,358.622998
23:18.0,2971,105.986482,29.343955,376.505998
29:30.0,2971,105.986491,29.343958,376.446619
35:42.0,2971,105.986501,29.34396,376.387239
41:54.0,2971,105.98651,29.343962,376.327859
48:06.0,2971,105.98652,29.343964,376.268479
54:18.0,2971,105.986529,29.343967,376.209099
00:30.0,2971,105.986538,29.343969,376.14972
06:42.0,2971,105.986548,29.343971,376.09034
12:54.0,2971,105.986557,29.343973,376.03096
19:06.0,2971,105.986567,29.343975,375.97158
25:18.0,2971,105.986576,29.343978,375.9122
31:30.0,2971,105.986586,29.34398,375.852821
37:42.0,2971,105.986595,29.343982,375.793441
43:54.0,2971,105.986604,29.343984,375.734061
50:06.0,2971,105.986614,29.343986,375.674681
33:30.0,4196,105.99508,29.346798,373.804701
39:42.0,4196,105.994965,29.346871,369.891643
45:54.0,4196,105.99485,29.346943,365.978585
52:06.0,4196,105.994735,29.347016,362.065527
58:18.0,4196,105.99462,29.347089,358.152468
04:30.0,4196,105.994505,29.347161,354.23941
10:42.0,4196,105.994391,29.347234,350.326352
16:54.0,4196,105.994276,29.347307,346.413294
23:06.0,4196,105.994161,29.347379,342.500236
29:18.0,4196,105.994046,29.347452,338.587178
35:30.0,4196,105.993931,29.347525,334.67412
41:42.0,4196,105.993816,29.347597,330.761062
47:54.0,4196,105.993701,29.34767,326.848004
54:06.0,4196,105.993586,29.347742,322.934946
00:18.0,4196,105.993471,29.347815,319.021888
55:18.0,3600,105.995866,29.357732,374.016148
01:36.0,3600,105.995831,29.357736,374.016703
07:54.0,3600,105.995797,29.35774,374.017258
14:12.0,3600,105.995762,29.357745,374.017813
20:30.0,3600,105.995728,29.357749,374.018368
26:48.0,3600,105.995693,29.357753,374.018923
33:06.0,3600,105.995658,29.357757,374.019478
39:24.0,3600,105.995624,29.357761,374.020033
45:42.0,3600,105.995589,29.357765,374.020588
52:00.0,3600,105.995554,29.357769,374.021143
58:18.0,3600,105.99552,29.357773,374.021698
04:36.0,3600,105.995485,29.357777,374.022253
10:54.0,3600,105.995451,29.357781,374.022808
17:12.0,3600,105.995416,29.357785,374.023363
23:30.0,3600,105.995381,29.357789,374.023918
51:54.0,1485,106.007441,29.357234,359.501706
58:06.0,1485,106.007406,29.357176,357.286542
04:18.0,1485,106.007371,29.357119,355.071377
10:30.0,1485,106.007336,29.357062,352.856213
16:42.0,1485,106.007301,29.357004,350.641048
22:54.0,1485,106.007266,29.356947,348.425884
29:06.0,1485,106.007231,29.356889,346.210719
35:18.0,1485,106.007196,29.356832,343.995555
41:30.0,1485,106.007161,29.356774,341.78039
47:42.0,1485,106.007126,29.356717,339.565226
53:54.0,1485,106.007091,29.356659,337.350061
00:06.0,1485,106.007056,29.356602,335.134897
06:18.0,1485,106.007021,29.356544,332.919733
12:30.0,1485,106.006986,29.356487,330.704568
18:42.0,1485,106.006951,29.356429,328.489404
23:48.0,8755,105.998798,29.366353,353.892778
30:00.0,8755,105.998871,29.366291,353.717607
36:12.0,8755,105.998945,29.36623,353.542437
42:24.0,8755,105.999019,29.366168,353.367266
48:36.0,8755,105.999093,29.366107,353.192095
54:48.0,8755,105.999166,29.366045,353.016925
01:00.0,8755,105.99924,29.365984,352.841754
07:12.0,8755,105.999314,29.365922,352.666584
13:24.0,8755,105.999388,29.365861,352.491413
19:36.0,8755,105.999461,29.365799,352.316242
25:48.0,8755,105.999535,29.365738,352.141072
32:00.0,8755,105.999609,29.365676,351.965901
38:12.0,8755,105.999683,29.365615,351.790731
44:24.0,8755,105.999756,29.365553,351.61556
50:36.0,8755,105.99983,29.365492,351.440389
06:00.0,7065,105.979992,29.350013,412.871681
12:12.0,7065,105.97998,29.350008,412.874307
18:24.0,7065,105.979968,29.350004,412.876934
24:36.0,7065,105.979956,29.349999,412.87956
30:48.0,7065,105.979943,29.349995,412.882186
37:00.0,7065,105.979931,29.349991,412.884812
43:12.0,7065,105.979919,29.349986,412.887439
49:24.0,7065,105.979907,29.349982,412.890065
55:36.0,7065,105.979895,29.349977,412.892691
01:48.0,7065,105.979883,29.349973,412.895317
08:00.0,7065,105.979871,29.349969,412.897943
14:12.0,7065,105.979858,29.349964,412.90057
20:24.0,7065,105.979846,29.34996,412.903196
26:36.0,7065,105.979834,29.349955,412.905822
32:48.0,7065,105.979822,29.349951,412.908448
26:12.0,9486,105.994741,29.358054,357.618742
32:24.0,9486,105.994691,29.358061,357.587512
38:36.0,9486,105.994642,29.358069,357.556281
44:48.0,9486,105.994592,29.358076,357.525051
51:00.0,9486,105.994542,29.358083,357.493821
57:12.0,9486,105.994493,29.35809,357.462591
03:24.0,9486,105.994443,29.358098,357.431361
09:36.0,9486,105.994393,29.358105,357.40013
15:48.0,9486,105.994344,29.358112,357.3689
22:00.0,9486,105.994294,29.358119,357.33767
28:12.0,9486,105.994244,29.358127,357.30644
34:24.0,9486,105.994195,29.358134,357.275209
40:36.0,9486,105.994145,29.358141,357.243979
46:48.0,9486,105.994095,29.358149,357.212749
53:00.0,9486,105.994046,29.358156,357.181519
20:00.0,3651,105.992567,29.35014,364.736505
26:12.0,3651,105.992606,29.350133,364.51219
32:24.0,3651,105.992645,29.350126,364.287876
38:36.0,3651,105.992684,29.350119,364.063561
44:48.0,3651,105.992723,29.350112,363.839247
51:00.0,3651,105.992762,29.350104,363.614932
57:12.0,3651,105.992801,29.350097,363.390618
03:24.0,3651,105.99284,29.35009,363.166303
09:36.0,3651,105.992879,29.350083,362.941989
15:48.0,3651,105.992918,29.350076,362.717674
22:00.0,3651,105.992956,29.350068,362.49336
28:12.0,3651,105.992995,29.350061,362.269045
34:24.0,3651,105.993034,29.350054,362.044731
40:36.0,3651,105.993073,29.350047,361.820416
46:48.0,3651,105.993112,29.35004,361.596102
42:42.0,5266,106.004736,29.3557,507.427126
48:54.0,5266,106.004752,29.355705,508.329108
55:06.0,5266,106.004769,29.355711,509.231089
01:18.0,5266,106.004785,29.355717,510.133071
07:30.0,5266,106.004801,29.355722,511.035052
13:42.0,5266,106.004818,29.355728,511.937034
19:54.0,5266,106.004834,29.355733,512.839016
26:06.0,5266,106.00485,29.355739,513.740997
32:18.0,5266,106.004866,29.355744,514.642979
38:30.0,5266,106.004883,29.35575,515.54496
44:42.0,5266,106.004899,29.355755,516.446942
50:54.0,5266,106.004915,29.355761,517.348924
57:06.0,5266,106.004932,29.355766,518.250905
03:18.0,5266,106.004948,29.355772,519.152887
09:30.0,5266,106.004964,29.355777,520.054869
18:00.0,2696,106.00015,29.354664,348.706074
24:18.0,2696,106.000181,29.354612,348.442462
30:36.0,2696,106.000211,29.35456,348.17885
36:54.0,2696,106.000241,29.354508,347.915237
43:12.0,2696,106.000272,29.354455,347.651625
49:30.0,2696,106.000302,29.354403,347.388013
55:48.0,2696,106.000333,29.354351,347.124401
02:06.0,2696,106.000363,29.354299,346.860789
08:24.0,2696,106.000393,29.354246,346.597177
14:42.0,2696,106.000424,29.354194,346.333564
21:00.0,2696,106.000454,29.354142,346.069952
27:18.0,2696,106.000485,29.35409,345.80634
33:36.0,2696,106.000515,29.354037,345.542728
39:54.0,2696,106.000546,29.353985,345.279116
46:12.0,2696,106.000576,29.353933,345.015503
21:54.0,9322,105.997326,29.361751,379.629535
28:06.0,9322,105.99758,29.3616,385.114523
34:18.0,9322,105.997835,29.361449,390.59951
40:30.0,9322,105.998089,29.361298,396.084498
46:42.0,9322,105.998344,29.361147,401.569485
